[buoy_visualizer-5] [INFO] [1771741073.372308216] [buoy_visualizer]: Buoy visualizer node started
[buoy_visualizer-5] [INFO] [1771741074.551949070] [buoy_visualizer]: Published 12 buoy markers
[buoy_visualizer-5] [INFO] [1771741074.657754168] [buoy_visualizer]: Buoy 0: range=3.48m, bearing=-105.6°, position=(-0.93, -3.36), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.658752159] [buoy_visualizer]: Buoy 1: range=7.02m, bearing=67.2°, position=(2.72, 6.47), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.660131104] [buoy_visualizer]: Buoy 2: range=12.03m, bearing=-17.5°, position=(11.47, -3.62), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741074.661291027] [buoy_visualizer]: Buoy 3: range=9.79m, bearing=-15.3°, position=(9.44, -2.59), confidence=0.38
[buoy_visualizer-5] [INFO] [1771741074.662428227] [buoy_visualizer]: Buoy 4: range=0.32m, bearing=-162.6°, position=(-0.31, -0.10), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.666261715] [buoy_visualizer]: Buoy 5: range=9.63m, bearing=45.0°, position=(6.82, 6.80), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.671544233] [buoy_visualizer]: Buoy 6: range=1.30m, bearing=10.4°, position=(1.28, 0.24), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.673521205] [buoy_visualizer]: Buoy 7: range=6.90m, bearing=33.7°, position=(5.74, 3.82), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741074.675297683] [buoy_visualizer]: Buoy 8: range=9.32m, bearing=-0.6°, position=(9.32, -0.10), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.676427683] [buoy_visualizer]: Buoy 9: range=9.46m, bearing=9.0°, position=(9.34, 1.48), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.677808677] [buoy_visualizer]: Buoy 10: range=8.63m, bearing=-31.0°, position=(7.40, -4.45), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.678770441] [buoy_visualizer]: Buoy 11: range=7.35m, bearing=-24.3°, position=(6.70, -3.03), confidence=0.38
[buoy_visualizer-5] [INFO] [1771741074.680868510] [buoy_visualizer]: Published 12 buoy markers
[buoy_visualizer-5] [INFO] [1771741074.772843124] [buoy_visualizer]: Buoy 0: range=6.90m, bearing=33.6°, position=(5.75, 3.81), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741074.774898117] [buoy_visualizer]: Buoy 1: range=3.49m, bearing=-105.9°, position=(-0.96, -3.35), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.776157887] [buoy_visualizer]: Buoy 2: range=9.31m, bearing=-1.4°, position=(9.31, -0.23), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.777380053] [buoy_visualizer]: Buoy 3: range=0.32m, bearing=-162.5°, position=(-0.31, -0.10), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.778638606] [buoy_visualizer]: Buoy 4: range=6.99m, bearing=67.2°, position=(2.71, 6.45), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.779827011] [buoy_visualizer]: Buoy 5: range=9.46m, bearing=9.0°, position=(9.34, 1.48), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.781104125] [buoy_visualizer]: Buoy 6: range=1.32m, bearing=9.2°, position=(1.31, 0.21), confidence=0.38
[buoy_visualizer-5] [INFO] [1771741074.782307634] [buoy_visualizer]: Buoy 7: range=9.66m, bearing=45.0°, position=(6.83, 6.84), confidence=0.88
[buoy_visualizer-5] [INFO] [1771741074.783504455] [buoy_visualizer]: Buoy 8: range=8.63m, bearing=-31.0°, position=(7.40, -4.45), confidence=0.25
[buoy_visualizer-5] [INFO] [1771741074.785746758] [buoy_visualizer]: Published 9 buoy markers
[buoy_visualizer-5] [INFO] [1771741074.898644135] [buoy_visualizer]: Buoy 0: range=6.97m, bearing=67.6°, position=(2.65, 6.45), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.900512139] [buoy_visualizer]: Buoy 1: range=0.31m, bearing=-163.7°, position=(-0.30, -0.09), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741074.902034583] [buoy_visualizer]: Buoy 2: range=6.90m, bearing=33.6°, position=(5.74, 3.82), confidence=0.62
[buoy_visualizer-5] [INFO] [1771741074.903398391] [buoy_visualizer]: Buoy 3: range=11.43m, bearing=-32.1°, position=(9.68, -6.07), confidence=0.62
[buoy_visualizer-5] [INFO] [1771741074.905467786] [buoy_visualizer]: Buoy 4: range=9.62m, bearing=-11.6°, position=(9.42, -1.94), confidence=0.25
