[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741081.835743873] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741081.928182188] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741082.037243567] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741082.161990662] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741082.270728081] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741082.384906364] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741082.498360084] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741082.602845906] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741082.730323626] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741082.820741765] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741082.942504233] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741083.080869442] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741083.201831915] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741083.316890194] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741083.410503246] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741083.546228907] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741083.665890040] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741083.790576968] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741083.919540615] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741084.031100471] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741084.167413532] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741084.294811946] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741084.430476576] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741084.557972405] [buoy_detector]: Detected 7 buoy(s)
[buoy_detector-3] [INFO] [1771741084.710546871] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741084.804574318] [buoy_detector]: Detected 13 buoy(s)
